Date,Open,High,Low,Close,Volume,Adj Close
2015-08-20,17345.320312,17345.320312,16990.689453,16990.689453,128530000,16990.689453
2015-08-19,17508.740234,17517.189453,17282.419922,17348.730469,104720000,17348.730469
2015-08-18,17537.300781,17568.400391,17486.419922,17511.339844,79900000,17511.339844
2015-08-17,17472.660156,17551.400391,17341.720703,17545.179688,73380000,17545.179688
2015-08-14,17410.119141,17492.900391,17394.060547,17477.400391,82120000,17477.400391
2015-08-13,17401.640625,17481.779297,17341.339844,17408.25,88550000,17408.25
2015-08-12,17382.929688,17423.900391,17125.810547,17402.509766,120400000,17402.509766
2015-08-11,17593.589844,17593.589844,17352.630859,17402.839844,103010000,17402.839844
2015-08-10,17375.179688,17629.130859,17375.179688,17615.169922,92430000,17615.169922
2015-08-07,17414.939453,17414.939453,17279.080078,17373.380859,81800000,17373.380859
2015-08-06,17542.609375,17572.039062,17362.859375,17419.75,96170000,17419.75
2015-08-05,17555.240234,17661.369141,17492.900391,17540.470703,102450000,17540.470703
2015-08-04,17596.929688,17635.779297,17505.50,17550.689453,99060000,17550.689453
2015-08-03,17696.740234,17704.759766,17496.609375,17598.199219,87880000,17598.199219
2015-07-31,17755.869141,17783.589844,17671.589844,17689.859375,106120000,17689.859375
2015-07-30,17743.240234,17761.25,17640.849609,17745.980469,76650000,17745.980469
2015-07-29,17631.400391,17776.779297,17629.199219,17751.390625,93140000,17751.390625
2015-07-28,17449.810547,17650.070312,17449.810547,17630.269531,103450000,17630.269531
2015-07-27,17561.779297,17561.779297,17399.169922,17440.589844,117860000,17440.589844
2015-07-24,17731.050781,17756.539062,17553.730469,17568.529297,103470000,17568.529297
2015-07-23,17853.779297,17860.949219,17705.029297,17731.919922,88600000,17731.919922
2015-07-22,17918.349609,17919.349609,17807.410156,17851.039062,112370000,17851.039062
2015-07-21,18096.669922,18096.669922,17868.339844,17919.289062,100170000,17919.289062
2015-07-20,18085.910156,18137.119141,18064.50,18100.410156,75060000,18100.410156
2015-07-17,18117.580078,18121.119141,18032.060547,18086.449219,106510000,18086.449219
2015-07-16,18078.160156,18131.609375,18065.330078,18120.25,85030000,18120.25
2015-07-15,18053.380859,18090.390625,18010.150391,18050.169922,80460000,18050.169922
2015-07-14,17974.609375,18072.820312,17956.169922,18053.580078,76740000,18053.580078
2015-07-13,17787.269531,17987.570312,17787.269531,17977.679688,86380000,17977.679688
2015-07-10,17561.119141,17797.490234,17561.119141,17760.410156,85800000,17760.410156
2015-07-09,17530.380859,17764.849609,17530.380859,17548.619141,100520000,17548.619141
2015-07-08,17759.009766,17759.009766,17496.220703,17515.419922,69830000,17515.419922
2015-07-07,17684.919922,17793.449219,17465.679688,17776.910156,105840000,17776.910156
2015-07-06,17728.080078,17734.359375,17564.359375,17683.580078,90130000,17683.580078
2015-07-02,17763.320312,17825.490234,17687.519531,17730.109375,83080000,17730.109375
2015-07-01,17638.119141,17801.830078,17638.119141,17757.910156,87010000,17757.910156
2015-06-30,17599.960938,17714.660156,17576.50,17619.509766,126460000,17619.509766
2015-06-29,17936.740234,17936.740234,17590.550781,17596.349609,116340000,17596.349609
2015-06-26,17892.029297,18013.150391,17892.029297,17946.679688,158120000,17946.679688
2015-06-25,17977.109375,18036.099609,17890.359375,17890.359375,78990000,17890.359375
2015-06-24,18139.099609,18139.099609,17966.070312,17966.070312,104980000,17966.070312
2015-06-23,18121.779297,18188.810547,18108.099609,18144.070312,75970000,18144.070312
2015-06-22,18027.630859,18181.669922,18027.630859,18119.779297,77780000,18119.779297
2015-06-19,18116.240234,18117.710938,18010.580078,18015.949219,258300000,18015.949219
2015-06-18,17944.609375,18174.730469,17944.609375,18115.839844,94460000,18115.839844
2015-06-17,17909.580078,17998.00,17839.650391,17935.740234,92410000,17935.740234
2015-06-16,17787.429688,17919.619141,17774.119141,17904.480469,77510000,17904.480469
2015-06-15,17890.759766,17890.759766,17698.419922,17791.169922,91920000,17791.169922
2015-06-12,18035.830078,18035.830078,17857.070312,17898.839844,83760000,17898.839844
2015-06-11,18001.269531,18109.769531,18001.269531,18039.369141,89490000,18039.369141
2015-06-10,17765.380859,18045.140625,17765.380859,18000.400391,96980000,18000.400391
2015-06-09,17766.949219,17817.830078,17714.970703,17764.039062,90550000,17764.039062
2015-06-08,17849.460938,17852.349609,17760.609375,17766.550781,86300000,17766.550781
2015-06-05,17905.380859,17940.779297,17822.900391,17849.460938,89140000,17849.460938
2015-06-04,18072.470703,18087.150391,17876.949219,17905.580078,93470000,17905.580078
2015-06-03,18018.419922,18168.089844,18010.419922,18076.269531,73120000,18076.269531
2015-06-02,18033.330078,18091.869141,17925.330078,18011.939453,77550000,18011.939453
2015-06-01,18017.820312,18105.830078,17982.060547,18040.369141,85640000,18040.369141
2015-05-29,18128.119141,18128.119141,17967.740234,18010.679688,139810000,18010.679688
2015-05-28,18154.140625,18154.140625,18066.400391,18126.119141,67510000,18126.119141
2015-05-27,18045.080078,18190.349609,18045.080078,18162.990234,96400000,18162.990234
2015-05-26,18229.75,18229.75,17990.019531,18041.539062,109440000,18041.539062
2015-05-22,18286.869141,18286.869141,18217.140625,18232.019531,78890000,18232.019531
2015-05-21,18285.869141,18314.890625,18249.900391,18285.740234,84270000,18285.740234
2015-05-20,18315.060547,18350.130859,18272.560547,18285.400391,80190000,18285.400391
2015-05-19,18300.480469,18351.359375,18261.349609,18312.390625,87200000,18312.390625
2015-05-18,18267.25,18325.539062,18244.259766,18298.880859,79080000,18298.880859
2015-05-15,18251.970703,18272.720703,18215.070312,18272.560547,108220000,18272.560547
2015-05-14,18062.490234,18255.210938,18062.490234,18252.240234,91580000,18252.240234
2015-05-13,18070.369141,18132.789062,18039.199219,18060.490234,85180000,18060.490234
2015-05-12,18096.160156,18119.179688,17924.800781,18068.230469,89270000,18068.230469
2015-05-11,18187.779297,18199.949219,18089.109375,18105.169922,86050000,18105.169922
2015-05-08,17933.640625,18205.230469,17933.640625,18191.109375,94960000,18191.109375
2015-05-07,17840.25,17973.070312,17796.939453,17924.060547,80920000,17924.060547
2015-05-06,17934.810547,18019.75,17733.119141,17841.980469,100430000,17841.980469
2015-05-05,18062.529297,18086.009766,17905.710938,17928.199219,95340000,17928.199219
2015-05-04,18026.019531,18133.759766,18026.019531,18070.400391,86010000,18070.400391
2015-05-01,17859.269531,18028.890625,17859.269531,18024.060547,91700000,18024.060547
2015-04-30,18033.330078,18033.330078,17774.890625,17840.519531,129180000,17840.519531
2015-04-29,18093.689453,18096.460938,17953.689453,18035.529297,102080000,18035.529297
2015-04-28,18035.900391,18119.650391,17917.359375,18110.140625,124930000,18110.140625
2015-04-27,18097.890625,18175.560547,18024.660156,18037.970703,121110000,18037.970703
2015-04-24,18056.419922,18108.869141,18009.080078,18080.140625,119130000,18080.140625
2015-04-23,18031.900391,18133.029297,17966.769531,18058.689453,100240000,18058.689453
2015-04-22,17950.820312,18056.019531,17887.759766,18038.269531,91260000,18038.269531
2015-04-21,18034.230469,18109.699219,17929.630859,17949.589844,95180000,17949.589844
2015-04-20,17841.179688,18092.220703,17841.179688,18034.929688,103160000,18034.929688
2015-04-17,18102.560547,18102.560547,17748.529297,17826.300781,138860000,17826.300781
2015-04-16,18106.269531,18169.259766,18063.859375,18105.769531,89520000,18105.769531
2015-04-15,18045.710938,18160.519531,18045.710938,18112.609375,113610000,18112.609375
2015-04-14,17979.109375,18075.599609,17905.480469,18036.699219,82830000,18036.699219
2015-04-13,18052.320312,18107.570312,17974.810547,17977.039062,120090000,17977.039062
2015-04-10,17956.730469,18066.759766,17945.550781,18057.650391,116410000,18057.650391
2015-04-09,17902.509766,17984.220703,17823.099609,17958.730469,86740000,17958.730469
2015-04-08,17877.619141,17976.199219,17822.230469,17902.509766,76820000,17902.509766
2015-04-07,17884.320312,17983.119141,17871.210938,17875.419922,72150000,17875.419922
2015-04-06,17755.50,17941.789062,17646.800781,17880.849609,100850000,17880.849609
